CustomerID,Lookalikes
C0001,"[('C0013', 0.6325), ('C0004', 0.6322), ('C0012', 0.6319)]"
C0002,"[('C0016', 0.5543), ('C0013', 0.5542), ('C0010', 0.5541)]"
C0003,"[('C0012', 0.9687), ('C0004', 0.6321), ('C0008', 0.6283)]"
C0004,"[('C0011', 0.9676), ('C0006', 0.9652), ('C0017', 0.7208)]"
C0005,"[('C0007', 0.9976), ('C0001', 0.5488), ('C0002', 0.5372)]"
C0006,"[('C0011', 0.9982), ('C0004', 0.9652), ('C0013', 0.6596)]"
C0007,"[('C0005', 0.9976), ('C0001', 0.5685), ('C0002', 0.5459)]"
C0008,"[('C0012', 0.6936), ('C0018', 0.6856), ('C0003', 0.6283)]"
C0009,"[('C0010', 0.9544), ('C0014', 0.4984), ('C0002', 0.4949)]"
C0010,"[('C0009', 0.9544), ('C0017', 0.5796), ('C0013', 0.5622)]"
C0011,"[('C0006', 0.9982), ('C0004', 0.9676), ('C0013', 0.651)]"
C0012,"[('C0003', 0.9687), ('C0004', 0.7177), ('C0013', 0.7109)]"
C0013,"[('C0004', 0.7193), ('C0012', 0.7109), ('C0006', 0.6596)]"
C0014,"[('C0009', 0.4984), ('C0010', 0.4675), ('C0019', 0.4671)]"
C0015,"[('C0018', 0.8588), ('C0019', 0.5049), ('C0020', 0.5045)]"
C0016,"[('C0013', 0.6358), ('C0018', 0.6256), ('C0008', 0.6166)]"
C0017,"[('C0019', 0.9434), ('C0004', 0.7208), ('C0018', 0.6955)]"
C0018,"[('C0015', 0.8588), ('C0004', 0.7065), ('C0017', 0.6955)]"
C0019,"[('C0017', 0.9434), ('C0018', 0.5854), ('C0004', 0.5839)]"
C0020,"[('C0015', 0.5045), ('C0005', 0.5017), ('C0007', 0.4972)]"
